,sentence,gender
8822,"Though in few words, i must thank you for yo=r= last, as many former lin's i have received full of gravity and grace.",m
8823,"I was bold to read itt in open councell, and the general came to mee to know from whom it came; it was strengthening to divers.",m
8824,"Being resolved to have in power, men of truith, fearing and loving our lord, his people and interest; the difficulty is to gett such: (^whether my lord onelie^) will cal them, or the saints should choose them; very much sweetly said both wai's.",m
8825,"What are yo=r= thoughts still of the dutch? some very deare to the lord, inclining much to o=r= seeking after peace from heb.",m
8826,"12, 14., rom.",m
8827,"12, 18., jam's 3, 17.",m
8828,"Conceiving itt would honno=r= that greate profession we make of christ, and very much of that kind; as also in refferense to the nations advantage w=th= very much simplicity.",m
8829,"Others humbly thinking christ has taken to himselfe his own power, begun to breake here who will not bow, and is going on; while they are not free to owne his dispensations, neither will wee owne them, not because they are o=r= inemies, but o=r= lords.",m
8830,I have heard of some failing of captaine price; i hint itt that you may not trust too farre.,m
8831,"Pray much for us, and that o=r= worke may be accepted of the lord and his people; if wee displease not there wee care not, though wee wish to doe good to and refresh all.",m
8832,My indeared love to yo=r= selfe and all saints.,m
8833,Yo=rs= t.,m
8834,"H. 30=th= daie, 2=d= month, 53.",m
8835,major gen=l= harrison to col=l= jon's.,m
8836,"My dearely beloved and honourable in the lord,    yo=r= letter of the 13=th= instant w=th= the inclosed to my lord gen=ll= and seasonable warning words came safe to my hands yesterday.",m
8837,"The last having read in councell, i sent to be printed for the use of all in, or that may come into power; that soe directed i delivered to the gen=ll's= hands, hoping some use wilbee made thereof also, though i repent my not taking a coppy.",m
8838,"I presume brother powell acquainted you o=r= thoughts as to the persons most in them, to serve on behalfe the saints in north wales; that wee propound three for north, three for south wal's.",m
8839,"Hugh courtney, john browne, richard price, out of yo=r= parts; wherein i wish the help of yo=r= selfe and others if wee have erred in the men, or to confirme us therin if approved by the most spirituall, or that you would send upp two or three nam's of the most polished, in case there bee cause of any addition or alteration, though itt were by lott.",m
8840,"Yo=r= lin's are very acceptable here to manie, full of councell and incouragem=t= as often therefore as the lord minds you of us send a word.",m
8841,"Wee are waiting on the lord of hoasts for his returne from sea, a thorough stroak there might bee very teaching and confirming of his poore servants; then perhaps for france, bourdeux having sent agents to crave aid against theire king.",m
8842,The lord give us heart's suitable to the time and work's done.,m
8843,My deare love and service to you all and yo=rs=.,m
8844,"T. H. Whitehall, 17=th= 3 m., 53.",m
8845,to mr. Humphrey jon's.,m
8846,"Good brother,    i have not had any letters from you all these two last posts.",m
8847,If i had but a word how you and yo=r= family doe by every post it would be sufficient.,m
8848,The inclosed is from coll=l= mason to mr. Courtney.,m
8849,"It is desired that you should deliver it with yo=r= owne hand, because there is inclosed a letter to colonell twisleton to pay you +l1000, with thirty pounds interest, which twisleton ow's mason, upon a bond which mr. Courtney has in his custody, to deliver up upon paym=t= of the money.",m
8850,"Coll=l= mason has a desire that the money might be in his owne disposall, and apprehensive of the slipperyness of such a single security for soe greate a sume in case of mortality or other alteration.",m
8851,"I have written to you all by y=e= lord henry cromwell that i moved him to become purchaser of y=e= lo=pp= of bromfield and yale, which he tooke in very good p=t= and perceive he has a very good minde to y=e= purchase.",m
8852,I believe he is gone in his returne to wrexham to see the countrey.,m
8853,"I acquainted him that i conceived he might buy the lo=pp= from y=e= sould=rs= whose debentur's are in the purchase for about 7s. in the pound, and for my owne interest i would leave it to himselfe to give mee satisfac~con for it in which way he please, and have likewize acquainted him that i have an other debenture with the true state thereof, and he seemed to be very desirous to be serviceable onto me in y=t= perticular.",m
8854,"If i might have satisfac~con for both my debentur's in the lands i now hold from the com~onwealth as tenant of the state and other, tho' the most congruous lands, to those lands in the counti's of dublin and kildare or one of them, att double the rat's in the act for sould=rs= and adventurers, i should be very well satisfyed with it, and thereby the satisfying of my interest in bromfield and yale in ready money would be avoided.",m
8855,"The lands i now hold as tenant to y=e= state, are y=e= townshipps and lands of newcastle, coleman's towne, ashgoe, rathcredan, greenoge loughtowne, ballinakelly, and some other smal parcells mixed with these, all of them being smal tenem=ts= and not one gentleman's house, or farme house, orchard or garden, standing upon them, but were wholy wast when i tooke them, haveing not within three myl's of them neither wood, turfe, nor any other fuell, nor a river, saveing one little brooke, soe smal that i thinke a trowt cannot live in it, neither is there any mill there to turne, soe that if i had it i conceive noe man would invy mee for it.",m
8856,"These lands stand upon the moar's of the county of kildare, and the next adjoyning lands on to mee in kildare is the towne and lands of castle lyons, a poore place inhabited by irish, and part of it intermixed with the lands in my possession.",m
8857,"I am the more p~ticular in this matter that in case you finde any inclination to have any kinde of this nature done for my satisfac~con, you may be furnished with soe many perticulars and certainty's as i can at present give to direct the drawing of such an act or order for mee from his highness and his councell, as will be advised by councell.",m
